Year,AdultPE,Age0PE,Adult.ac,Age0.ac,Adult.ha,Age0.ha
1958,5695,4395,19.43686,15,47.99022483,37.03547653
1959,4922,26077,16.8,89,41.47973372,219.7438274
1961,3399,879,11.6,3,28.64076852,7.407095306
1962,4688,14650,16,50,39.5045083,123.4515884
1963,1670,13185,5.7,45,14.07348108,111.1064296
1964,1494,31644,5.1,108,12.59206202,266.655431
1965,2696,10548,9.2,36,22.71509227,88.88514368
1966,3047,22268,10.4,76,25.6779304,187.6464144
1967,6153,8790,21,30,51.84966714,74.07095306
1968,4073,8497,13.9,29,34.31954159,71.60192129
1969,4190,19045,14.3,65,35.30715429,160.487065
1970,2784,9962,9.5,34,23.4558018,83.94708014
1971,6593,2930,22.5,10,55.5532148,24.69031769
1972,4190,1465,14.3,5,35.30715429,12.34515884
1973,NA,NA,NA,NA,NA,NA
1974,3575,14943,12.20137,51,30.12557015,125.9206202
1975,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA
1977,8526,17665,29.1,60.2901,71.84882447,148.8581722
1978,NA,NA,NA,NA,NA,NA
1979,4864,6957,16.6,23.74403,40.98592736,58.62476439
1980,8380,1036,28.6,3.535836,70.61430859,8.730091413
1981,4278,16345,14.6,55.78498,36.04786382,137.7348878
1982,5303,6206,18.1,21.18089,44.68947501,52.2962903
1983,3633,10366,12.4,35.37884,30.61599393,87.3514799
1984,9054,16795,30.9,57.32082,76.29308166,141.5269256
1985,4893,14964,16.7,51.07167,41.23283054,126.0975757
1986,6182,15299,21.1,52.21502,52.09657032,128.9205432
1987,4981,13882,17,47.37884,41.97354007,116.9798611
1988,4542,4351,15.5,14.84983,38.26999242,36.66470203
1989,9083,4262,31,14.54608,76.53998483,35.91473363
1990,5069,36703,17.3,125.2662,42.7142496,309.2862274
1991,4073,4876,13.9,16.64164,34.31954159,41.08873784
1992,2051,12331,7,42.08532,17.28322238,103.9099921
1993,4512,19690,15.4,67.20137,38.02308924,165.9223174
1994,3633,30225,12.4,103.157,30.61599393,254.6979102
1995,2637,4136,9,14.11604,22.22128592,34.85295121
1996,2461,1325,8.4,4.52218,20.73986686,11.16540608
1997,11398,4637,38.9,15.82648,96.04533581,39.07608191
1998,6505,4993,22.2,17.04,54.81250527,42.07230134
1999,2842,26867,9.7,91.696,23.94960816,226.4003371
2000,2315,1160,7.9,3.959044,19.50535097,9.77500541
2001,2168,43159,7.4,147.3,18.27083509,363.6883795
2002,2696,12775,9.2,43.6,22.71509227,107.6497851
2003,3047,3164,10.4,10.8,25.6779304,26.6655431
2004,1817,6065,6.2,20.7,15.30799697,51.10895761
2005,2666,11984,9.1,40.9,22.4681891,100.9833993
2006,2198,4395,7.5,15,18.51773827,37.03547653
2007,3252,8761,11.1,29.9,27.40625263,73.82404989
2008,2344,18606,8,63.5,19.75225415,156.7835173
2009,2315,1875,7.9,6.4,19.50535097,15.80180332
2010,2578,5948,8.8,20.3,21.72747957,50.12134491
2011,4014,2725,13.7,9.3,33.82573523,22.96199545
2012,1758,2725,6,9.3,14.81419061,22.96199545
2013,2549,2754,8.7,9.4,21.48057639,23.20889863
2014,2901,2696,9.9,9.2,24.44341451,22.71509227
2015,2666,9903,9.1,33.8,22.4681891,83.45327378
2016,1895,4550,6.467576792,15.52901024,15.96865257,38.34161962
2017,2008,853,6.853242321,2.911262799,16.92087301,7.188000337
2018,2273,9747,7.757679181,33.2662116,19.15395635,82.13533328
2019,2816,1512,9.6,5.2,23.74968373,12.75159871
2020,NA,1241,NA,4.2,NA,NA
2021,NA,1699.4,NA,5.8,NA,NA
2022,2284,3073,7.7946,10.5,NA,NA
2023,2493,NA,8.51,NA,NA,NA
