Year,IceOn,IceOff,IceDuration
1956,11/15/1955,4/30/1956,167
1957,11/16/1956,4/24/1957,159
1958,11/20/1957,4/17/1958,148
1959,11/27/1958,4/23/1959,147
1960,11/11/1959,4/23/1960,164
1961,12/1/1960,4/23/1961,143
1962,11/21/1961,4/25/1962,155
1963,12/9/1962,4/14/1963,126
1964,12/1/1963,4/21/1964,142
1965,11/23/1964,5/4/1965,162
1966,11/30/1965,4/27/1966,148
1967,12/2/1966,4/17/1967,136
1968,11/17/1967,4/8/1968,143
1969,11/7/1968,4/21/1969,165
1970,11/14/1969,4/27/1970,164
1971,11/15/1970,4/24/1971,160
1972,11/22/1971,5/5/1972,165
1973,11/15/1972,4/17/1973,153
1974,11/6/1973,4/27/1974,172
1975,11/27/1974,5/3/1975,157
1976,11/14/1975,4/17/1976,155
1977,11/7/1976,4/16/1977,160
1978,11/25/1977,4/28/1978,154
1979,11/16/1978,5/1/1979,166
1980,11/27/1979,4/22/1980,147
1981,11/26/1980,4/12/1981,137
1982,11/21/1981,5/2/1982,162
1983,11/25/1982,4/20/1983,146
1984,11/12/1983,4/17/1984,157
1985,11/11/1984,4/23/1985,163
1986,11/11/1985,4/14/1986,154
1987,11/17/1986,4/11/1987,145
1988,11/22/1987,4/13/1988,143
1989,11/30/1988,4/27/1989,148
1990,11/21/1989,4/20/1990,150
1991,12/2/1990,4/19/1991,138
1992,11/8/1991,4/29/1992,173
1993,11/18/1992,4/30/1993,163
1994,11/24/1993,4/20/1994,147
1995,11/28/1994,4/23/1995,146
1996,11/9/1995,5/14/1996,187
1997,11/17/1996,4/28/1997,162
1998,11/18/1997,4/9/1998,142
1999,12/21/1998,4/15/1999,115
2000,12/17/1999,4/5/2000,110
2001,11/23/2000,4/23/2001,151
2002,12/27/2001,4/21/2002,115
2003,11/25/2002,4/22/2003,148
2004,12/2/2003,4/20/2004,140
2005,12/4/2004,4/14/2005,131
2006,11/25/2005,4/15/2006,141
2007,12/2/2006,4/17/2007,136
2008,11/28/2007,5/1/2008,155
2009,11/22/2008,4/21/2009,150
2010,12/6/2009,3/31/2010,115
2011,11/28/2010,4/26/2011,149
2012,11/30/2011,3/22/2012,113
2013,12/8/2012,5/9/2013,152
2014,11/24/2013,5/8/2014,165
2015,11/20/2014,4/14/2015,145
2016,12/28/2015,4/19/2016,113
2017,12/1/2016,4/10/2017,130
2018,12/3/2017,5/6/2018,154
2019,11/9/2018,4/28/2019,170
2020,11/5/2019,4/27/2020,174
